date,year,month,period,indicator,value,unit
2013-08-01,2013,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),28499.9,386 миллиард рублей
2013-09-01,2013,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),28352.6,386 миллиард рублей
2013-10-01,2013,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),28276.4,386 миллиард рублей
2013-11-01,2013,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),28873.3,386 миллиард рублей
2013-12-01,2013,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),31155.6,386 миллиард рублей
2014-01-01,2014,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),29861.2,386 миллиард рублей
2014-02-01,2014,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),30169.0,386 миллиард рублей
2014-03-01,2014,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),29519.3,386 миллиард рублей
2014-04-01,2014,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),29879.2,386 миллиард рублей
2014-05-01,2014,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),29890.8,386 миллиард рублей
2014-06-01,2014,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),30071.8,386 миллиард рублей
2014-07-01,2014,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),30178.3,386 миллиард рублей
2014-08-01,2014,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),30338.7,386 миллиард рублей
2014-09-01,2014,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),30297.6,386 миллиард рублей
2014-10-01,2014,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),29831.2,386 миллиард рублей
2014-11-01,2014,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),30141.9,386 миллиард рублей
2014-12-01,2014,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),31615.7,386 миллиард рублей
2015-01-01,2015,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),31033.8,386 миллиард рублей
2015-02-01,2015,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),31225.0,386 миллиард рублей
2015-03-01,2015,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),31028.9,386 миллиард рублей
2015-04-01,2015,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),31718.6,386 миллиард рублей
2015-05-01,2015,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),31842.2,386 миллиард рублей
2015-06-01,2015,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),31958.0,386 миллиард рублей
2015-07-01,2015,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),32094.2,386 миллиард рублей
2015-08-01,2015,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),32383.6,386 миллиард рублей
2015-09-01,2015,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),32074.4,386 миллиард рублей
2015-10-01,2015,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),32170.2,386 миллиард рублей
2015-11-01,2015,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),32754.2,386 миллиард рублей
2015-12-01,2015,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),35179.7,386 миллиард рублей
2016-01-01,2016,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),33975.7,386 миллиард рублей
2016-02-01,2016,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),34318.9,386 миллиард рублей
2016-03-01,2016,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),34698.7,386 миллиард рублей
2016-04-01,2016,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),35113.1,386 миллиард рублей
2016-05-01,2016,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),35650.5,386 миллиард рублей
2016-06-01,2016,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),35867.9,386 миллиард рублей
2016-07-01,2016,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),36039.0,386 миллиард рублей
2016-08-01,2016,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),36194.4,386 миллиард рублей
2016-09-01,2016,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),36148.7,386 миллиард рублей
2016-10-01,2016,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),36051.0,386 миллиард рублей
2016-11-01,2016,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),36432.9,386 миллиард рублей
2016-12-01,2016,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),38418.0,386 миллиард рублей
2017-01-01,2017,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),38016.8,386 миллиард рублей
2017-02-01,2017,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),38475.2,386 миллиард рублей
2017-03-01,2017,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),38555.2,386 миллиард рублей
2017-04-01,2017,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),38663.8,386 миллиард рублей
2017-05-01,2017,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),39222.9,386 миллиард рублей
2017-06-01,2017,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),39623.1,386 миллиард рублей
2017-07-01,2017,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),39275.9,386 миллиард рублей
2017-08-01,2017,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),39419.3,386 миллиард рублей
2017-09-01,2017,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),39571.0,386 миллиард рублей
2017-10-01,2017,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),39667.5,386 миллиард рублей
2017-11-01,2017,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),40114.4,386 миллиард рублей
2017-12-01,2017,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),42442.1,386 миллиард рублей
2018-01-01,2018,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),41598.0,386 миллиард рублей
2018-02-01,2018,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),42045.6,386 миллиард рублей
2018-03-01,2018,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),42375.3,386 миллиард рублей
2018-04-01,2018,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),43122.0,386 миллиард рублей
2018-05-01,2018,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),43257.4,386 миллиард рублей
2018-06-01,2018,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),44125.3,386 миллиард рублей
2018-07-01,2018,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),43910.9,386 миллиард рублей
2018-08-01,2018,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),44369.1,386 миллиард рублей
2018-12-01,2018,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),47109.3,386 миллиард рублей
2019-01-01,2019,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),45721.2,386 миллиард рублей
2019-02-01,2019,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),46212.6,386 миллиард рублей
2019-03-01,2019,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),46141.2,386 миллиард рублей
2019-04-01,2019,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),46435.9,386 миллиард рублей
2019-05-01,2019,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),46735.3,386 миллиард рублей
2019-06-01,2019,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),47349.4,386 миллиард рублей
2019-07-01,2019,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),47351.0,386 миллиард рублей
2019-08-01,2019,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),47584.1,386 миллиард рублей
2019-09-01,2019,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),48266.8,386 миллиард рублей
2019-10-01,2019,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),48082.4,386 миллиард рублей
2019-11-01,2019,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),49195.3,386 миллиард рублей
2019-12-01,2019,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),51660.3,386 миллиард рублей
2020-01-01,2020,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),50622.9,386 миллиард рублей
2020-02-01,2020,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),51314.2,386 миллиард рублей
2020-03-01,2020,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),52327.0,386 миллиард рублей
2020-04-01,2020,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),52951.7,386 миллиард рублей
2020-05-01,2020,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),53068.0,386 миллиард рублей
2020-06-01,2020,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),54392.6,386 миллиард рублей
2020-07-01,2020,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),54687.4,386 миллиард рублей
2020-08-01,2020,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),55294.2,386 миллиард рублей
2020-09-01,2020,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),56023.9,386 миллиард рублей
2020-10-01,2020,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),55871.6,386 миллиард рублей
2020-11-01,2020,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),56122.6,386 миллиард рублей
2020-12-01,2020,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),58652.1,386 миллиард рублей
2021-01-01,2021,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),57598.4,386 миллиард рублей
2021-02-01,2021,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),58178.2,386 миллиард рублей
2021-03-01,2021,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),58261.6,386 миллиард рублей
2021-04-01,2021,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),59206.3,386 миллиард рублей
2021-05-01,2021,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),59194.1,386 миллиард рублей
2021-06-01,2021,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),59583.9,386 миллиард рублей
2021-07-01,2021,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),59379.7,386 миллиард рублей
2021-08-01,2021,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),59816.9,386 миллиард рублей
2021-09-01,2021,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),60606.2,386 миллиард рублей
2021-10-01,2021,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),60813.7,386 миллиард рублей
2021-11-01,2021,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),62312.5,386 миллиард рублей
2021-12-01,2021,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),66252.9,386 миллиард рублей
2022-01-01,2022,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),65310.3,386 миллиард рублей
2022-02-01,2022,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),66659.7,386 миллиард рублей
2022-03-01,2022,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),68203.5,386 миллиард рублей
2022-04-01,2022,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),68475.3,386 миллиард рублей
2022-05-01,2022,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),68993.4,386 миллиард рублей
2022-06-01,2022,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),69623.2,386 миллиард рублей
2022-07-01,2022,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),70825.4,386 миллиард рублей
2022-08-01,2022,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),73333.3,386 миллиард рублей
2022-09-01,2022,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),75096.8,386 миллиард рублей
2022-12-01,2022,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),82388.0,386 миллиард рублей
2023-01-01,2023,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),82221.7,386 миллиард рублей
2023-02-01,2023,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),83955.9,386 миллиард рублей
2023-03-01,2023,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),84813.4,386 миллиард рублей
2023-04-01,2023,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),84636.0,386 миллиард рублей
2023-05-01,2023,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),86197.3,386 миллиард рублей
2023-06-01,2023,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),87276.5,386 миллиард рублей
2023-07-01,2023,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),88294.0,386 миллиард рублей
2023-08-01,2023,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),90110.9,386 миллиард рублей
2023-09-01,2023,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),90597.3,386 миллиард рублей
2023-10-01,2023,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),91134.7,386 миллиард рублей
2023-11-01,2023,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),92546.9,386 миллиард рублей
2023-12-01,2023,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),98385.4,386 миллиард рублей
2024-01-01,2024,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),97816.7,386 миллиард рублей
2024-02-01,2024,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),99422.0,386 миллиард рублей
2024-03-01,2024,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),99595.8,386 миллиард рублей
2024-04-01,2024,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),103107.4,386 миллиард рублей
2024-05-01,2024,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),102519.1,386 миллиард рублей
2024-06-01,2024,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),103557.2,386 миллиард рублей
2024-07-01,2024,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),104351.3,386 миллиард рублей
2024-08-01,2024,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),106242.7,386 миллиард рублей
2024-10-01,2024,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),108947.9,386 миллиард рублей
2024-11-01,2024,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),111025.2,386 миллиард рублей
2024-12-01,2024,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),117256.4,386 миллиард рублей
2025-01-01,2025,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),116590.3,386 миллиард рублей
2025-02-01,2025,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),117697.6,386 миллиард рублей
2025-03-01,2025,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),116505.6,386 миллиард рублей
1994-09-01,1994,9,108 сентябрь,Денежный агрегат М1,50826.9,386 миллиард рублей
2010-12-01,2010,12,62 декабрь,Денежный агрегат М1,10859.9,386 миллиард рублей
2011-01-01,2011,1,115 январь,Денежный агрегат М1,10405.4,386 миллиард рублей
2011-02-01,2011,2,114 февраль,Денежный агрегат М1,10548.0,386 миллиард рублей
2011-03-01,2011,3,68 март,Денежный агрегат М1,10489.4,386 миллиард рублей
2011-04-01,2011,4,61 апрель,Денежный агрегат М1,10506.9,386 миллиард рублей
2011-05-01,2011,5,67 май,Денежный агрегат М1,10572.4,386 миллиард рублей
2011-06-01,2011,6,66 июнь,Денежный агрегат М1,10961.4,386 миллиард рублей
2011-07-01,2011,7,65 июль,Денежный агрегат М1,10962.6,386 миллиард рублей
2011-08-01,2011,8,60 август,Денежный агрегат М1,11098.1,386 миллиард рублей
2011-09-01,2011,9,108 сентябрь,Денежный агрегат М1,11359.1,386 миллиард рублей
2011-10-01,2011,10,105 октябрь,Денежный агрегат М1,11130.9,386 миллиард рублей
2011-11-01,2011,11,104 ноябрь,Денежный агрегат М1,11354.1,386 миллиард рублей
2011-12-01,2011,12,62 декабрь,Денежный агрегат М1,12756.9,386 миллиард рублей
2012-01-01,2012,1,115 январь,Денежный агрегат М1,12196.2,386 миллиард рублей
2012-02-01,2012,2,114 февраль,Денежный агрегат М1,12198.8,386 миллиард рублей
2012-03-01,2012,3,68 март,Денежный агрегат М1,12210.0,386 миллиард рублей
2012-04-01,2012,4,61 апрель,Денежный агрегат М1,12157.2,386 миллиард рублей
2012-05-01,2012,5,67 май,Денежный агрегат М1,12215.1,386 миллиард рублей
2012-06-01,2012,6,66 июнь,Денежный агрегат М1,12567.0,386 миллиард рублей
2012-07-01,2012,7,65 июль,Денежный агрегат М1,12381.8,386 миллиард рублей
2012-08-01,2012,8,60 август,Денежный агрегат М1,12175.8,386 миллиард рублей
2012-09-01,2012,9,108 сентябрь,Денежный агрегат М1,12331.6,386 миллиард рублей
2012-10-01,2012,10,105 октябрь,Денежный агрегат М1,12178.4,386 миллиард рублей
2012-11-01,2012,11,104 ноябрь,Денежный агрегат М1,12301.6,386 миллиард рублей
2012-12-01,2012,12,62 декабрь,Денежный агрегат М1,13694.0,386 миллиард рублей
2013-01-01,2013,1,115 январь,Денежный агрегат М1,13107.5,386 миллиард рублей
2013-02-01,2013,2,114 февраль,Денежный агрегат М1,13190.1,386 миллиард рублей
2013-03-01,2013,3,68 март,Денежный агрегат М1,13393.4,386 миллиард рублей
2013-04-01,2013,4,61 апрель,Денежный агрегат М1,13273.4,386 миллиард рублей
2013-05-01,2013,5,67 май,Денежный агрегат М1,13383.9,386 миллиард рублей
2013-06-01,2013,6,66 июнь,Денежный агрегат М1,13983.7,386 миллиард рублей
2013-07-01,2013,7,65 июль,Денежный агрегат М1,14002.6,386 миллиард рублей
2013-08-01,2013,8,60 август,Денежный агрегат М1,13843.8,386 миллиард рублей
2013-09-01,2013,9,108 сентябрь,Денежный агрегат М1,13841.2,386 миллиард рублей
2013-10-01,2013,10,105 октябрь,Денежный агрегат М1,13678.9,386 миллиард рублей
2013-11-01,2013,11,104 ноябрь,Денежный агрегат М1,14070.0,386 миллиард рублей
2013-12-01,2013,12,62 декабрь,Денежный агрегат М1,15511.9,386 миллиард рублей
2014-01-01,2014,1,115 январь,Денежный агрегат М1,14694.9,386 миллиард рублей
2014-02-01,2014,2,114 февраль,Денежный агрегат М1,14971.5,386 миллиард рублей
2014-03-01,2014,3,68 март,Денежный агрегат М1,14743.0,386 миллиард рублей
2014-04-01,2014,4,61 апрель,Денежный агрегат М1,14776.7,386 миллиард рублей
2014-05-01,2014,5,67 май,Денежный агрегат М1,14700.3,386 миллиард рублей
2014-06-01,2014,6,66 июнь,Денежный агрегат М1,14939.5,386 миллиард рублей
2014-07-01,2014,7,65 июль,Денежный агрегат М1,14791.3,386 миллиард рублей
2014-08-01,2014,8,60 август,Денежный агрегат М1,14784.3,386 миллиард рублей
2014-09-01,2014,9,108 сентябрь,Денежный агрегат М1,14747.0,386 миллиард рублей
2014-10-01,2014,10,105 октябрь,Денежный агрегат М1,14260.1,386 миллиард рублей
2014-11-01,2014,11,104 ноябрь,Денежный агрегат М1,14721.1,386 миллиард рублей
2014-12-01,2014,12,62 декабрь,Денежный агрегат М1,15341.4,386 миллиард рублей
2015-01-01,2015,1,115 январь,Денежный агрегат М1,14955.3,386 миллиард рублей
2015-02-01,2015,2,114 февраль,Денежный агрегат М1,14921.1,386 миллиард рублей
2015-03-01,2015,3,68 март,Денежный агрегат М1,14749.8,386 миллиард рублей
2015-04-01,2015,4,61 апрель,Денежный агрегат М1,14775.4,386 миллиард рублей
2015-05-01,2015,5,67 май,Денежный агрегат М1,14844.8,386 миллиард рублей
2015-06-01,2015,6,66 июнь,Денежный агрегат М1,15046.1,386 миллиард рублей
2015-07-01,2015,7,65 июль,Денежный агрегат М1,14985.3,386 миллиард рублей
2015-08-01,2015,8,60 август,Денежный агрегат М1,15201.1,386 миллиард рублей
2015-09-01,2015,9,108 сентябрь,Денежный агрегат М1,15003.1,386 миллиард рублей
2015-10-01,2015,10,105 октябрь,Денежный агрегат М1,14797.8,386 миллиард рублей
2015-11-01,2015,11,104 ноябрь,Денежный агрегат М1,15258.7,386 миллиард рублей
2015-12-01,2015,12,62 декабрь,Денежный агрегат М1,16515.6,386 миллиард рублей
2016-01-01,2016,1,115 январь,Денежный агрегат М1,15916.5,386 миллиард рублей
2016-02-01,2016,2,114 февраль,Денежный агрегат М1,16102.8,386 миллиард рублей
2016-03-01,2016,3,68 март,Денежный агрегат М1,16411.3,386 миллиард рублей
2016-04-01,2016,4,61 апрель,Денежный агрегат М1,16318.1,386 миллиард рублей
2016-05-01,2016,5,67 май,Денежный агрегат М1,16743.7,386 миллиард рублей
2016-06-01,2016,6,66 июнь,Денежный агрегат М1,16861.1,386 миллиард рублей
2016-07-01,2016,7,65 июль,Денежный агрегат М1,16654.5,386 миллиард рублей
2016-08-01,2016,8,60 август,Денежный агрегат М1,16707.3,386 миллиард рублей
2016-09-01,2016,9,108 сентябрь,Денежный агрегат М1,16523.7,386 миллиард рублей
2016-10-01,2016,10,105 октябрь,Денежный агрегат М1,16494.2,386 миллиард рублей
2016-11-01,2016,11,104 ноябрь,Денежный агрегат М1,16583.9,386 миллиард рублей
2016-12-01,2016,12,62 декабрь,Денежный агрегат М1,17642.4,386 миллиард рублей
2017-01-01,2017,1,115 январь,Денежный агрегат М1,17325.5,386 миллиард рублей
2017-02-01,2017,2,114 февраль,Денежный агрегат М1,17509.6,386 миллиард рублей
2017-03-01,2017,3,68 март,Денежный агрегат М1,17305.9,386 миллиард рублей
2017-04-01,2017,4,61 апрель,Денежный агрегат М1,17287.5,386 миллиард рублей
2017-05-01,2017,5,67 май,Денежный агрегат М1,17685.6,386 миллиард рублей
2017-06-01,2017,6,66 июнь,Денежный агрегат М1,18040.5,386 миллиард рублей
2017-07-01,2017,7,65 июль,Денежный агрегат М1,18058.1,386 миллиард рублей
2017-08-01,2017,8,60 август,Денежный агрегат М1,18076.5,386 миллиард рублей
2017-09-01,2017,9,108 сентябрь,Денежный агрегат М1,18009.3,386 миллиард рублей
2017-10-01,2017,10,105 октябрь,Денежный агрегат М1,18137.9,386 миллиард рублей
2017-11-01,2017,11,104 ноябрь,Денежный агрегат М1,18368.1,386 миллиард рублей
2017-12-01,2017,12,62 декабрь,Денежный агрегат М1,19508.7,386 миллиард рублей
2018-01-01,2018,1,115 январь,Денежный агрегат М1,18864.0,386 миллиард рублей
2018-02-01,2018,2,114 февраль,Денежный агрегат М1,19248.9,386 миллиард рублей
2018-03-01,2018,3,68 март,Денежный агрегат М1,19347.5,386 миллиард рублей
2018-04-01,2018,4,61 апрель,Денежный агрегат М1,19759.2,386 миллиард рублей
2018-05-01,2018,5,67 май,Денежный агрегат М1,20077.6,386 миллиард рублей
2018-06-01,2018,6,66 июнь,Денежный агрегат М1,20604.4,386 миллиард рублей
2018-07-01,2018,7,65 июль,Денежный агрегат М1,20669.6,386 миллиард рублей
2018-08-01,2018,8,60 август,Денежный агрегат М1,20596.3,386 миллиард рублей
2018-12-01,2018,12,62 декабрь,Денежный агрегат М1,21624.1,386 миллиард рублей
2019-01-01,2019,1,115 январь,Денежный агрегат М1,20748.3,386 миллиард рублей
2019-02-01,2019,2,114 февраль,Денежный агрегат М1,20944.1,386 миллиард рублей
2019-03-01,2019,3,68 март,Денежный агрегат М1,20810.6,386 миллиард рублей
2019-04-01,2019,4,61 апрель,Денежный агрегат М1,21173.8,386 миллиард рублей
2019-05-01,2019,5,67 май,Денежный агрегат М1,21088.4,386 миллиард рублей
2019-06-01,2019,6,66 июнь,Денежный агрегат М1,21717.7,386 миллиард рублей
2019-07-01,2019,7,65 июль,Денежный агрегат М1,21743.8,386 миллиард рублей
2019-08-01,2019,8,60 август,Денежный агрегат М1,21953.5,386 миллиард рублей
2019-09-01,2019,9,108 сентябрь,Денежный агрегат М1,22430.0,386 миллиард рублей
2019-10-01,2019,10,105 октябрь,Денежный агрегат М1,22135.2,386 миллиард рублей
2019-11-01,2019,11,104 ноябрь,Денежный агрегат М1,22527.8,386 миллиард рублей
2019-12-01,2019,12,62 декабрь,Денежный агрегат М1,23861.7,386 миллиард рублей
2020-01-01,2020,1,115 январь,Денежный агрегат М1,23357.5,386 миллиард рублей
2020-02-01,2020,2,114 февраль,Денежный агрегат М1,24023.9,386 миллиард рублей
2020-03-01,2020,3,68 март,Денежный агрегат М1,25136.4,386 миллиард рублей
2020-04-01,2020,4,61 апрель,Денежный агрегат М1,25991.4,386 миллиард рублей
2020-05-01,2020,5,67 май,Денежный агрегат М1,26471.4,386 миллиард рублей
2020-06-01,2020,6,66 июнь,Денежный агрегат М1,27817.3,386 миллиард рублей
2020-07-01,2020,7,65 июль,Денежный агрегат М1,28088.2,386 миллиард рублей
2020-08-01,2020,8,60 август,Денежный агрегат М1,29027.4,386 миллиард рублей
2020-09-01,2020,9,108 сентябрь,Денежный агрегат М1,29513.5,386 миллиард рублей
2020-10-01,2020,10,105 октябрь,Денежный агрегат М1,29622.3,386 миллиард рублей
2020-11-01,2020,11,104 ноябрь,Денежный агрегат М1,30394.8,386 миллиард рублей
2020-12-01,2020,12,62 декабрь,Денежный агрегат М1,31785.6,386 миллиард рублей
2021-01-01,2021,1,115 январь,Денежный агрегат М1,31520.3,386 миллиард рублей
2021-02-01,2021,2,114 февраль,Денежный агрегат М1,32157.9,386 миллиард рублей
2021-03-01,2021,3,68 март,Денежный агрегат М1,32198.2,386 миллиард рублей
2021-04-01,2021,4,61 апрель,Денежный агрегат М1,33030.3,386 миллиард рублей
2021-05-01,2021,5,67 май,Денежный агрегат М1,33276.7,386 миллиард рублей
2021-06-01,2021,6,66 июнь,Денежный агрегат М1,33753.7,386 миллиард рублей
2021-07-01,2021,7,65 июль,Денежный агрегат М1,33519.2,386 миллиард рублей
2021-08-01,2021,8,60 август,Денежный агрегат М1,33760.3,386 миллиард рублей
2021-09-01,2021,9,108 сентябрь,Денежный агрегат М1,33938.3,386 миллиард рублей
2021-10-01,2021,10,105 октябрь,Денежный агрегат М1,33801.7,386 миллиард рублей
2021-11-01,2021,11,104 ноябрь,Денежный агрегат М1,34544.6,386 миллиард рублей
2021-12-01,2021,12,62 декабрь,Денежный агрегат М1,36008.7,386 миллиард рублей
2022-01-01,2022,1,115 январь,Денежный агрегат М1,35897.0,386 миллиард рублей
2022-02-01,2022,2,114 февраль,Денежный агрегат М1,37248.3,386 миллиард рублей
2022-03-01,2022,3,68 март,Денежный агрегат М1,34872.8,386 миллиард рублей
2022-04-01,2022,4,61 апрель,Денежный агрегат М1,34269.4,386 миллиард рублей
2022-05-01,2022,5,67 май,Денежный агрегат М1,34720.4,386 миллиард рублей
2022-06-01,2022,6,66 июнь,Денежный агрегат М1,36457.9,386 миллиард рублей
2022-07-01,2022,7,65 июль,Денежный агрегат М1,37645.8,386 миллиард рублей
2022-08-01,2022,8,60 август,Денежный агрегат М1,39015.6,386 миллиард рублей
2022-12-01,2022,12,62 декабрь,Денежный агрегат М1,44018.5,386 миллиард рублей
2023-01-01,2023,1,115 январь,Денежный агрегат М1,44964.6,386 миллиард рублей
2023-02-01,2023,2,114 февраль,Денежный агрегат М1,45621.0,386 миллиард рублей
2023-03-01,2023,3,68 март,Денежный агрегат М1,45350.5,386 миллиард рублей
2023-04-01,2023,4,61 апрель,Денежный агрегат М1,45758.8,386 миллиард рублей
2023-05-01,2023,5,67 май,Денежный агрегат М1,47519.4,386 миллиард рублей
2023-06-01,2023,6,66 июнь,Денежный агрегат М1,48447.3,386 миллиард рублей
2023-07-01,2023,7,65 июль,Денежный агрегат М1,49517.1,386 миллиард рублей
2023-08-01,2023,8,60 август,Денежный агрегат М1,49710.8,386 миллиард рублей
