BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2016-12-16,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,410.42,410.17,410.54,410.12,9053105943.0,1643.0,8.47,2,3469941959375.33,RUB,,3,,2016-12-16,
SNDX,RGBITR,2016-12-19,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,410.56,410.54,410.77,410.28,5300017572.0,1641.0,8.48,2,3471167848329.44,RUB,,3,,2016-12-19,
SNDX,RGBITR,2016-12-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,410.67,410.7,410.98,410.67,9799826265.0,1639.0,8.48,2,3472119673665.34,RUB,,3,,2016-12-20,
SNDX,RGBITR,2016-12-21,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,410.55,410.78,410.98,410.53,8378338983.0,1638.0,8.49,2,3471069156401.89,RUB,,3,,2016-12-21,
SNDX,RGBITR,2016-12-22,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,410.92,410.64,411.12,410.33,11484624341.0,1638.0,8.48,2,3474190688869.43,RUB,,3,,2016-12-22,
SNDX,RGBITR,2016-12-23,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,411.53,410.88,411.55,409.51,13547016056.0,1638.0,8.45,2,3479341050775.06,RUB,,3,,2016-12-23,
SNDX,RGBITR,2016-12-26,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,411.38,411.92,411.92,411.28,4275213173.0,1635.0,8.48,2,3478098050646.09,RUB,,3,,2016-12-26,
SNDX,RGBITR,2016-12-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,411.93,411.51,412.02,411.45,7539692899.0,1635.0,8.45,2,3482769949028.64,RUB,,3,,2016-12-27,
SNDX,RGBITR,2016-12-28,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,412.35,412.06,412.48,411.76,16500792736.0,1635.0,8.44,2,3486307681268.22,RUB,,3,,2016-12-28,
SNDX,RGBITR,2016-12-29,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,413.56,412.62,413.68,412.58,6094383653.0,1636.0,8.37,2,3496573273296.47,RUB,,3,,2016-12-29,
SNDX,RGBITR,2016-12-30,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,413.58,413.78,414.67,413.55,2870214677.0,1633.0,8.36,2,3496754571495.94,RUB,,3,,2016-12-30,
SNDX,RGBITR,2017-01-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,414.42,414.1,414.43,413.69,83662159.0,1630.0,8.29,2,3503886705249.28,RUB,,3,,2017-01-03,
SNDX,RGBITR,2017-01-04,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,415.76,414.51,415.8,414.51,24077997.0,1630.0,8.23,2,3515180603257.69,RUB,,3,,2017-01-04,
SNDX,RGBITR,2017-01-05,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,415.9,415.58,416.06,415.5,32803211.0,1630.0,8.23,2,3516358580749.54,RUB,,3,,2017-01-05,
SNDX,RGBITR,2017-01-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,416.41,415.74,416.47,415.44,85103945.0,1630.0,8.2,2,3520711379848.28,RUB,,3,,2017-01-06,
SNDX,RGBITR,2017-01-09,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,417.12,416.71,417.12,415.84,6346680243.0,1631.0,8.21,2,3526695925577.46,RUB,,3,,2017-01-09,
SNDX,RGBITR,2017-01-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.33,417.28,418.33,417.28,21022546987.0,1634.0,8.17,2,3536905698632.11,RUB,,3,,2017-01-10,
SNDX,RGBITR,2017-01-11,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.61,418.52,418.81,417.89,17945633407.0,1634.0,8.17,2,3539238076476.77,RUB,,3,,2017-01-11,
SNDX,RGBITR,2017-01-12,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.77,418.53,419.77,417.96,17485831361.0,1634.0,8.09,2,3549033913686.85,RUB,,3,,2017-01-12,
SNDX,RGBITR,2017-01-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.17,419.82,420.19,419.64,12632673378.0,1634.0,8.07,2,3552380739543.94,RUB,,3,,2017-01-13,
SNDX,RGBITR,2017-01-16,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.0,420.42,420.42,420.0,5196519114.0,1630.0,8.1,2,3550967885347.94,RUB,,3,,2017-01-16,
SNDX,RGBITR,2017-01-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.59,420.09,420.59,420.09,17275871478.0,1629.0,8.07,2,3555986904031.77,RUB,,3,,2017-01-17,
SNDX,RGBITR,2017-01-18,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.31,420.61,420.71,420.21,10823076469.0,1627.0,8.08,2,3552317030053.06,RUB,,3,,2017-01-18,
SNDX,RGBITR,2017-01-19,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.68,420.36,420.51,419.44,19500145870.0,1624.0,8.12,2,3546996166235.75,RUB,,3,,2017-01-19,
SNDX,RGBITR,2017-01-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.06,420.16,420.43,419.91,10765847071.0,1623.0,8.09,2,3550232632982.17,RUB,,3,,2017-01-20,
SNDX,RGBITR,2017-01-23,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.22,420.37,420.44,420.18,6923619715.0,1620.0,8.09,2,3551543910989.98,RUB,,3,,2017-01-23,
SNDX,RGBITR,2017-01-24,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.82,420.36,420.46,419.82,11632309839.0,1618.0,8.13,2,3548151898467.37,RUB,,3,,2017-01-24,
SNDX,RGBITR,2017-01-25,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.66,419.9,420.03,418.66,18904576996.0,1617.0,8.2,2,3532698627874.18,RUB,,3,,2017-01-25,
SNDX,RGBITR,2017-01-26,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,416.69,418.65,418.67,416.65,27572870938.0,1611.0,8.32,2,3516090210614.45,RUB,,3,,2017-01-26,
